Nama_Lokasi_Kecamatan,Nama_Lokasi_,Hari,Tanggal,Total_Positif_PMK,Total_Suspek_Hari_Ini,Total_Suspect_PMK,Total_Sembuh_PMK,Total_Sembuh_Hari_Ini,Total_Mati_PMK
Prambanan,Kebondalem lor,Sabtu,2 Juli 2022,,2,1,,,
Prambanan,Kokosan,Sabtu,2 Juli 2022,,,5,,,
Prambanan,Joho,Sabtu,2 Juli 2022,,3,3,,,
Prambanan,Kemudo,Sabtu,2 Juli 2022,,3,11,,,
Gantiwarno,Kragilan,Sabtu,2 Juli 2022,,,8,,,
Karangnongko,Jiwan,Sabtu,2 Juli 2022,,,6,,3,
Karangnongko,Kadilaju,Sabtu,2 Juli 2022,,,1,,1,
Manisrenggo,Tijayan,Sabtu,2 Juli 2022,,,1,,,
Manisrenggo,Solodiran,Sabtu,2 Juli 2022,,2,2,,,
Manisrenggo,Tanjungsari,Sabtu,2 Juli 2022,,,4,,,
Manisrenggo,Taskombang,Sabtu,2 Juli 2022,,,2,,,
Manisrenggo,Nangsri,Sabtu,2 Juli 2022,,,13,,,
Manisrenggo,Barukan,Sabtu,2 Juli 2022,,,1,,,
Wonosari,Bentangan,Sabtu,2 Juli 2022,,,14,,,
Wonosari,Teloyo,Sabtu,2 Juli 2022,,,2,,,
Wonosari,Kingkang,Sabtu,2 Juli 2022,,,1,,,
Wonosari,Jelobo,Sabtu,2 Juli 2022,,,18,,,
Wedi,Sukorejo,Sabtu,2 Juli 2022,,,3,,,
Wedi,Melikan,Sabtu,2 Juli 2022,,,6,,,
Wedi,Kadilanggon,Sabtu,2 Juli 2022,,,3,,,
Wedi,Kaligayam,Sabtu,2 Juli 2022,,,17,,,
Pedan,Temuireng,Sabtu,2 Juli 2022,,,2,,2,
Pedan,Ngaren,Sabtu,2 Juli 2022,,,1,,,
Pedan,Beji,Sabtu,2 Juli 2022,,,3,,2,
Trucuk,Kalikebo,Sabtu,2 Juli 2022,,,4,,,
Trucuk,Karangpakel,Sabtu,2 Juli 2022,,,2,,,
Trucuk,Sumber,Sabtu,2 Juli 2022,,,4,,,
Trucuk,Wanglu,Sabtu,2 Juli 2022,,,9,,,
Trucuk,Bero,Sabtu,2 Juli 2022,,,4,,,
Trucuk,Mandong,Sabtu,2 Juli 2022,,,3,,1,
Cawas,Karangasem,Sabtu,2 Juli 2022,,,1,,,
Kalikotes,Kalikotes,Sabtu,2 Juli 2022,,,2,,,
Kalikotes,Krajan,Sabtu,2 Juli 2022,,,16,,,
Karangdowo,Sentono,Sabtu,2 Juli 2022,,,1,,,
Ceper,Kujon,Sabtu,2 Juli 2022,,,5,,,
Bayat,Wiro,Sabtu,2 Juli 2022,,,57,,,
Ngawen, Tempursari,Minggu,3 Juli 2022,,,22,,,
Ngawen, Candirejo,Minggu,3 Juli 2022,,,3,,,
Ngawen, Senden,Minggu,3 Juli 2022,,,15,,,
Ngawen, Manjungan,Minggu,3 Juli 2022,,,1,,,
Jatinom, Kayumas,Minggu,3 Juli 2022,,,1,,,
Jatinom, Bengking,Minggu,3 Juli 2022,,,27,,,
Jatinom, Randulanang,Minggu,3 Juli 2022,,,8,,,
Jatinom, Beteng,Minggu,3 Juli 2022,,,11,,,
Jatinom, Glagah,Minggu,3 Juli 2022,,12,15,,,
Jatinom, Cawan,Minggu,3 Juli 2022,,,4,,,
Jatinom, Tibayan,Minggu,3 Juli 2022,,,19,,,
Jatinom, Bandungan,Minggu,3 Juli 2022,,,40,,,
Jatinom, Temuireng,Minggu,3 Juli 2022,,,9,,,
Jatinom, Krajan,Minggu,3 Juli 2022,,,5,,,
Jatinom, Socokangsi,Minggu,3 Juli 2022,,,58,,,
Jatinom, Puluhan,Minggu,3 Juli 2022,,,1,,,
Jatinom, Jemawan,Minggu,3 Juli 2022,,,15,,,
Jatinom, Mranggen,Minggu,3 Juli 2022,,,14,,,
Tulung, Tulung,Minggu,3 Juli 2022,,10,20,,,
Tulung, Bono,Minggu,3 Juli 2022,,,71,,,
Tulung, Gedongjetis,Minggu,3 Juli 2022,,4,1,,,
Tulung, Sedayu,Minggu,3 Juli 2022,,,28,,,
Tulung, Pucang Miliran,Minggu,3 Juli 2022,,,5,,,
Tulung, Malangan,Minggu,3 Juli 2022,,,5,,,
Tulung, Mundu,Minggu,3 Juli 2022,,,11,,,
Tulung, Kemiri,Minggu,3 Juli 2022,,,18,,,
Kemalang, Tegalmulyo,Minggu,3 Juli 2022,,,3,,,
Kemalang, Dompol,Minggu,3 Juli 2022,,,7,,,
Kemalang, Tangkil,Minggu,3 Juli 2022,,,3,,,
Jogonalan, Tambakan,Minggu,3 Juli 2022,,,2,,,
Jogonalan, Rejoso,Minggu,3 Juli 2022,,,64,,,
Jogonalan, Granting,Minggu,3 Juli 2022,,,23,,,
Jogonalan, Dompyongan,Minggu,3 Juli 2022,,1,12,,,
Jogonalan, Bakung,Minggu,3 Juli 2022,,,4,,,
Jogonalan, Gondangan,Minggu,3 Juli 2022,,,6,,,
Karanganom, Jungkare,Minggu,3 Juli 2022,,,9,,,
Karanganom, Gempol,Minggu,3 Juli 2022,,,1,,,
Karanganom, Jurangjero,Minggu,3 Juli 2022,,,1,,,
Prambanan, Sengon,Minggu,3 Juli 2022,,,16,,1,
Prambanan, Randusari,Minggu,3 Juli 2022,,,3,,,
Prambanan, Brajan,Minggu,3 Juli 2022,,,12,,,
Prambanan, Kebondalem lor,Minggu,3 Juli 2022,,,3,,,
Prambanan, Kokosan,Minggu,3 Juli 2022,,,5,,,
Prambanan, Joho,Minggu,3 Juli 2022,,3,6,,,
Prambanan, Kemudo,Minggu,3 Juli 2022,,,14,,1,
Gantiwarno, Kragilan,Minggu,3 Juli 2022,,,8,,,
Karangnongko, Jiwan,Minggu,3 Juli 2022,,,3,,,
Manisrenggo, Tijayan,Minggu,3 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Minggu,3 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Minggu,3 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Minggu,3 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Minggu,3 Juli 2022,,,13,,,
Manisrenggo, Barukan,Minggu,3 Juli 2022,,1,1,,,
Wonosari, Bentangan,Minggu,3 Juli 2022,,,14,,,
Wonosari, Teloyo,Minggu,3 Juli 2022,,,2,,,
Wonosari, Kingkang,Minggu,3 Juli 2022,,,1,,,
Wonosari, Jelobo,Minggu,3 Juli 2022,,,18,,,
Wedi, Sukorejo,Minggu,3 Juli 2022,,,3,,,
Wedi, Melikan,Minggu,3 Juli 2022,,,6,,,
Wedi, Kadilanggon,Minggu,3 Juli 2022,,,3,,,
Wedi, Kaligayam,Minggu,3 Juli 2022,,,17,,,
Pedan, Ngaren,Minggu,3 Juli 2022,,,1,,,
Pedan, Beji,Minggu,3 Juli 2022,,,1,,,
Trucuk, Kalikebo,Minggu,3 Juli 2022,,,4,,,
Trucuk, Karangpakel,Minggu,3 Juli 2022,,,2,,,
Trucuk, Sumber,Minggu,3 Juli 2022,,,4,,,
Trucuk, Wanglu,Minggu,3 Juli 2022,,,9,,,
Trucuk, Bero,Minggu,3 Juli 2022,,,4,,,
Trucuk, Mandong,Minggu,3 Juli 2022,,,2,,,
Cawas, Karangasem,Minggu,3 Juli 2022,,,1,,,
Kalikotes, Kalikotes,Minggu,3 Juli 2022,,,2,,,
Kalikotes, Krajan,Minggu,3 Juli 2022,,,16,,,
Karangdowo, Sentono,Minggu,3 Juli 2022,,,1,,,
Ceper, Kujon,Minggu,3 Juli 2022,,,5,,,
Bayat, Wiro,Minggu,3 Juli 2022,,,57,,,
Ngawen, Tempursari,Senin,4 Juli 2022,,,22,,,
Ngawen, Candirejo,Senin,4 Juli 2022,,,3,,,
Ngawen, Senden,Senin,4 Juli 2022,,,15,,,
Ngawen, Manjungan,Senin,4 Juli 2022,,,1,,,
Jatinom, Kayumas ,Senin,4 Juli 2022,,,1,,,
Jatinom, Bengking ,Senin,4 Juli 2022,,8,27,,,
Jatinom, Randulanang ,Senin,4 Juli 2022,,,8,,2,
Jatinom, Beteng ,Senin,4 Juli 2022,,,11,,,
Jatinom, Glagah,Senin,4 Juli 2022,,,27,,2,
Jatinom, Cawan,Senin,4 Juli 2022,,,4,,,
Jatinom, Tibayan,Senin,4 Juli 2022,,,19,,,
Jatinom, Bandungan,Senin,4 Juli 2022,,6,40,,,
Jatinom, Temuireng,Senin,4 Juli 2022,,,9,,,
Jatinom, Krajan,Senin,4 Juli 2022,,,5,,,
Jatinom, Socokangsi,Senin,4 Juli 2022,,4,58,,,
Jatinom, Puluhan,Senin,4 Juli 2022,,,1,,,
Jatinom, Jemawan,Senin,4 Juli 2022,,,15,,,
Jatinom, Mranggen,Senin,4 Juli 2022,,,14,,8,
Tulung, Tulung ,Senin,4 Juli 2022,,,30,,,
Tulung, Bono,Senin,4 Juli 2022,,,71,,,
Tulung, Gedongjetis ,Senin,4 Juli 2022,,,5,,,
Tulung, Sedayu,Senin,4 Juli 2022,,,28,,,
Tulung, Pucang Miliran,Senin,4 Juli 2022,,,5,,,
Tulung, Malangan,Senin,4 Juli 2022,,,5,,,
Tulung, Mundu,Senin,4 Juli 2022,,,11,,,
Tulung, Kemiri,Senin,4 Juli 2022,,,18,,,
Kemalang, Tegalmulyo,Senin,4 Juli 2022,,,3,,,
Kemalang, Dompol,Senin,4 Juli 2022,,,7,,,
Kemalang, Tangkil,Senin,4 Juli 2022,,,3,,,
Jogonalan, Tambakan,Senin,4 Juli 2022,,,2,,,
Jogonalan, Rejoso,Senin,4 Juli 2022,,,64,,40,
Jogonalan, Granting,Senin,4 Juli 2022,,,23,,4,
Jogonalan, Dompyongan,Senin,4 Juli 2022,,4,13,,,
Jogonalan, Bakung,Senin,4 Juli 2022,,,4,,4,
Jogonalan, Gondangan,Senin,4 Juli 2022,,,6,,6,
Karanganom, Jungkare,Senin,4 Juli 2022,,,9,,4,
Karanganom, Gempol,Senin,4 Juli 2022,,,1,,1,
Karanganom, Jurangjero,Senin,4 Juli 2022,,,1,,,
Prambanan, Sengon,Senin,4 Juli 2022,,,15,,,
Prambanan, Randusari,Senin,4 Juli 2022,,,3,,2,
Prambanan, Brajan,Senin,4 Juli 2022,,,12,,,
Prambanan, Kebondalem lor,Senin,4 Juli 2022,,,3,,,
Prambanan, Kokosan,Senin,4 Juli 2022,,,5,,,
Prambanan, Joho,Senin,4 Juli 2022,,,9,,1,
